Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","SW_Push","SW_SPST_TL3342",379.406250,-80.175000,180.000000,bottom
"C1","1u","C_0402_1005Metric",297.342500,-36.512500,0.000000,bottom
"C2","1u","C_0402_1005Metric",301.329864,-38.893750,90.000000,bottom
"C3","22p","C_0402_1005Metric",370.086915,-114.355772,45.000000,bottom
"C4","22p","C_0402_1005Metric",366.253422,-114.619837,135.000000,bottom
"C5","1u","C_0402_1005Metric",372.516466,-93.688597,180.000000,bottom
"C6","1u","C_0402_1005Metric",363.899353,-95.248434,90.000000,bottom
"C7","100n","C_0402_1005Metric",364.520330,-109.526443,-135.000000,bottom
"C8","100n","C_0402_1005Metric",367.903306,-94.338688,90.000000,bottom
"C9","10u","C_0603_1608Metric",357.187500,-96.043750,-90.000000,bottom
"C10","1u","C_0402_1005Metric",361.282390,-98.748485,180.000000,bottom
"C11","100n","C_0402_1005Metric",359.568750,-103.414598,180.000000,bottom
"C12","100n","C_0402_1005Metric",372.198072,-98.617275,0.000000,bottom
"C13","100n","C_0402_1005Metric",373.576446,-103.447575,0.000000,bottom
"C14","100n","C_0402_1005Metric",366.814671,-94.355744,90.000000,bottom
"C15","100n","C_0402_1005Metric",362.743750,-95.250000,90.000000,bottom
"C16","100n","C_0402_1005Metric",365.594477,-110.158517,-135.000000,bottom
"D1","D_Small","D_SOD-123",28.575000,-26.193750,90.000000,bottom
"D2","D_Small","D_SOD-123",66.675000,-26.193750,90.000000,bottom
"D3","D_Small","D_SOD-123",85.725000,-26.193750,90.000000,bottom
"D4","D_Small","D_SOD-123",104.775000,-26.193750,90.000000,bottom
"D5","D_Small","D_SOD-123",123.825000,-26.193750,90.000000,bottom
"D6","D_Small","D_SOD-123",152.400000,-26.193750,90.000000,bottom
"D7","D_Small","D_SOD-123",171.450000,-26.193750,90.000000,bottom
"D8","D_Small","D_SOD-123",190.500000,-26.193750,90.000000,bottom
"D9","D_Small","D_SOD-123",209.550000,-26.193750,90.000000,bottom
"D10","D_Small","D_SOD-123",238.125000,-26.193750,90.000000,bottom
"D11","D_Small","D_SOD-123",257.175000,-26.193750,90.000000,bottom
"D12","D_Small","D_SOD-123",276.225000,-26.193750,90.000000,bottom
"D13","D_Small","D_SOD-123",295.275000,-26.193750,90.000000,bottom
"D14","D_Small","D_SOD-123",319.087500,-26.193750,90.000000,bottom
"D15","D_Small","D_SOD-123",338.137500,-26.193750,90.000000,bottom
"D16","D_Small","D_SOD-123",357.187500,-26.193750,90.000000,bottom
"D17","D_Small","D_SOD-123",28.575000,-54.768750,90.000000,bottom
"D18","D_Small","D_SOD-123",47.625000,-54.768750,90.000000,bottom
"D19","D_Small","D_SOD-123",66.675000,-54.768750,90.000000,bottom
"D20","D_Small","D_SOD-123",85.725000,-54.768750,90.000000,bottom
"D21","D_Small","D_SOD-123",104.775000,-54.768750,90.000000,bottom
"D22","D_Small","D_SOD-123",123.825000,-54.768750,90.000000,bottom
"D23","D_Small","D_SOD-123",142.875000,-54.768750,90.000000,bottom
"D24","D_Small","D_SOD-123",161.925000,-54.768750,90.000000,bottom
"D25","D_Small","D_SOD-123",180.975000,-54.768750,90.000000,bottom
"D26","D_Small","D_SOD-123",200.025000,-54.768750,90.000000,bottom
"D27","D_Small","D_SOD-123",219.075000,-54.768750,90.000000,bottom
"D28","D_Small","D_SOD-123",238.125000,-54.768750,90.000000,bottom
"D29","D_Small","D_SOD-123",257.175000,-54.768750,90.000000,bottom
"D30","D_Small","D_SOD-123",285.750000,-54.768750,90.000000,bottom
"D31","D_Small","D_SOD-123",319.087500,-54.768750,90.000000,bottom
"D32","D_Small","D_SOD-123",338.137500,-54.768750,90.000000,bottom
"D33","D_Small","D_SOD-123",357.187500,-54.768750,90.000000,bottom
"D34","D_Small","D_SOD-123",33.337500,-73.818750,90.000000,bottom
"D35","D_Small","D_SOD-123",57.150000,-73.818750,90.000000,bottom
"D36","D_Small","D_SOD-123",76.200000,-73.818750,90.000000,bottom
"D37","D_Small","D_SOD-123",95.250000,-73.818750,90.000000,bottom
"D38","D_Small","D_SOD-123",114.300000,-73.818750,90.000000,bottom
"D39","D_Small","D_SOD-123",133.350000,-73.818750,90.000000,bottom
"D40","D_Small","D_SOD-123",152.400000,-73.818750,90.000000,bottom
"D41","D_Small","D_SOD-123",171.450000,-73.818750,90.000000,bottom
"D42","D_Small","D_SOD-123",190.500000,-73.818750,90.000000,bottom
"D43","D_Small","D_SOD-123",209.550000,-73.818750,90.000000,bottom
"D44","D_Small","D_SOD-123",228.600000,-73.818750,90.000000,bottom
"D45","D_Small","D_SOD-123",247.650000,-73.818750,90.000000,bottom
"D46","D_Small","D_SOD-123",266.700000,-73.818750,90.000000,bottom
"D47","D_Small","D_SOD-123",292.893750,-83.343750,90.000000,bottom
"D48","D_Small","D_SOD-123",319.087500,-73.818750,90.000000,bottom
"D49","D_Small","D_SOD-123",338.137500,-73.818750,90.000000,bottom
"D50","D_Small","D_SOD-123",357.187500,-73.818750,90.000000,bottom
"D51","D_Small","D_SOD-123",35.718750,-92.868750,90.000000,bottom
"D52","D_Small","D_SOD-123",61.912500,-92.868750,90.000000,bottom
"D53","D_Small","D_SOD-123",80.962500,-92.868750,90.000000,bottom
"D54","D_Small","D_SOD-123",100.012500,-92.868750,90.000000,bottom
"D55","D_Small","D_SOD-123",119.062500,-92.868750,90.000000,bottom
"D56","D_Small","D_SOD-123",138.112500,-92.868750,90.000000,bottom
"D57","D_Small","D_SOD-123",157.162500,-92.868750,90.000000,bottom
"D58","D_Small","D_SOD-123",176.212500,-92.868750,90.000000,bottom
"D59","D_Small","D_SOD-123",195.262500,-92.868750,90.000000,bottom
"D60","D_Small","D_SOD-123",214.312500,-92.868750,90.000000,bottom
"D61","D_Small","D_SOD-123",233.362500,-92.868750,90.000000,bottom
"D62","D_Small","D_SOD-123",252.412500,-92.868750,90.000000,bottom
"D63","D_Small","D_SOD-123",271.462500,-92.868750,90.000000,bottom
"D64","D_Small","D_SOD-123",40.481250,-111.918750,90.000000,bottom
"D65","D_Small","D_SOD-123",71.437500,-111.918750,90.000000,bottom
"D66","D_Small","D_SOD-123",90.487500,-111.918750,90.000000,bottom
"D67","D_Small","D_SOD-123",109.537500,-111.918750,90.000000,bottom
"D68","D_Small","D_SOD-123",128.587500,-111.918750,90.000000,bottom
"D69","D_Small","D_SOD-123",147.637500,-111.918750,90.000000,bottom
"D70","D_Small","D_SOD-123",166.687500,-111.918750,90.000000,bottom
"D71","D_Small","D_SOD-123",185.737500,-111.918750,90.000000,bottom
"D72","D_Small","D_SOD-123",204.787500,-111.918750,90.000000,bottom
"D73","D_Small","D_SOD-123",223.837500,-111.918750,90.000000,bottom
"D74","D_Small","D_SOD-123",242.887500,-111.918750,90.000000,bottom
"D75","D_Small","D_SOD-123",278.606250,-111.918750,90.000000,bottom
"D76","D_Small","D_SOD-123",338.137500,-111.918750,90.000000,bottom
"D77","D_Small","D_SOD-123",30.956250,-130.968750,90.000000,bottom
"D78","D_Small","D_SOD-123",54.768750,-130.968750,90.000000,bottom
"D79","D_Small","D_SOD-123",78.581250,-130.968750,90.000000,bottom
"D80","D_Small","D_SOD-123",150.018750,-130.968750,90.000000,bottom
"D81","D_Small","D_SOD-123",221.456250,-130.968750,90.000000,bottom
"D82","D_Small","D_SOD-123",245.268750,-130.968750,90.000000,bottom
"D83","D_Small","D_SOD-123",269.081250,-130.968750,90.000000,bottom
"D84","D_Small","D_SOD-123",292.893750,-130.968750,90.000000,bottom
"D85","D_Small","D_SOD-123",319.087500,-130.968750,90.000000,bottom
"D86","D_Small","D_SOD-123",338.137500,-130.968750,90.000000,bottom
"D87","D_Small","D_SOD-123",357.187500,-130.968750,90.000000,bottom
